Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 27. September 2009;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt.;
Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;DIE LINKE;FDP;GRÜNE;NPD;MLPD;REP;PIRATEN;Einzelbewerber;
P;51;Bad Doberan;5109;Dummerstorf;13051089;Dummerstorf;12;12;6021;3962;65,8;2;1,5;98,5;16,0;35,6;26,4;10,8;5,9;3,1;0,1;0,3;1,8;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2398;1590;66,3;1;19;1571;313;626;336;144;93;47;x;x;x;12;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2398;1590;66,3;1;1,2;98,8;19,9;39,8;21,4;9,2;5,9;3,0;x;x;x;0,8;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2398;1590;66,3;2;18;1572;250;560;366;215;104;42;1;8;26;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051001;Admannshagen-Bargeshagen;2;2;2398;1590;66,3;2;1,1;98,9;15,9;35,6;23,3;13,7;6,6;2,7;0,1;0,5;1,7;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1032;686;66,5;1;4;682;158;249;145;41;47;36;x;x;x;6;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1032;686;66,5;1;0,6;99,4;23,2;36,5;21,3;6,0;6,9;5,3;x;x;x;0,9;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1032;686;66,5;2;4;682;129;236;151;71;57;22;1;2;13;x;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051006;Bartenshagen-Parkentin;1;1;1032;686;66,5;2;0,6;99,4;18,9;34,6;22,1;10,4;8,4;3,2;0,1;0,3;1,9;x;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1415;913;64,5;1;12;901;172;344;193;99;60;27;x;x;x;6;
P;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1415;913;64,5;1;1,3;98,7;19,1;38,2;21,4;11,0;6,7;3,0;x;x;x;0,7;
A;51;Bad Doberan;5111;Bad Doberan-Land;13051013;Börgerende-Rethwisch;2;2;1415;913;64,5;2;9;904;125;328;206;135;61;21;0;1;27;x;
