Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 27. September 2009;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt.;
Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;DIE LINKE;FDP;GRÜNE;NPD;MLPD;REP;PIRATEN;Einzelbewerber;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058091;Rüting;1;1;482;270;56,0;2;4;266;63;89;59;29;12;7;1;0;6;x;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058091;Rüting;1;1;482;270;56,0;2;1,5;98,5;23,7;33,5;22,2;10,9;4,5;2,6;0,4;0,0;2,3;x;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;519;257;49,5;1;4;253;39;87;82;20;16;9;x;x;x;0;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;519;257;49,5;1;1,6;98,4;15,4;34,4;32,4;7,9;6,3;3,6;x;x;x;0,0;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;519;257;49,5;2;3;254;39;79;77;31;12;6;0;0;10;x;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;519;257;49,5;2;1,2;98,8;15,4;31,1;30,3;12,2;4,7;2,4;0,0;0,0;3,9;x;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;617;327;53,0;1;5;322;51;96;121;26;8;19;x;x;x;1;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;617;327;53,0;1;1,5;98,5;15,8;29,8;37,6;8,1;2,5;5,9;x;x;x;0,3;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;617;327;53,0;2;6;321;52;106;113;20;7;18;1;0;4;x;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;617;327;53,0;2;1,8;98,2;16,2;33,0;35,2;6,2;2,2;5,6;0,3;0,0;1,2;x;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058106;Warnow;1;1;532;307;57,7;1;4;303;71;92;77;27;24;11;x;x;x;1;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058106;Warnow;1;1;532;307;57,7;1;1,3;98,7;23,4;30,4;25,4;8,9;7,9;3,6;x;x;x;0,3;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058106;Warnow;1;1;532;307;57,7;2;3;304;59;93;83;34;19;9;1;0;6;x;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058106;Warnow;1;1;532;307;57,7;2;1,0;99,0;19,4;30,6;27,3;11,2;6,3;3,0;0,3;0,0;2,0;x;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058715;Briefwahl Grevesmühle;1;1;0;440;0,0;1;3;437;88;147;102;53;33;11;x;x;x;3;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058715;Briefwahl Grevesmühle;1;1;0;440;0,0;1;0,7;99,3;20,1;33,6;23,3;12,1;7,6;2,5;x;x;x;0,7;
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058715;Briefwahl Grevesmühle;1;1;0;440;0,0;2;0;440;70;153;91;57;45;11;2;0;11;x;
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058715;Briefwahl Grevesmühle;1;1;0;440;0,0;2;0,0;100,0;15,9;34,8;20,7;13,0;10,2;2,5;0,5;0,0;2,5;x;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058054;Klütz, Stadt;2;2;2608;1287;49,3;1;16;1271;239;459;392;83;49;36;x;x;x;13;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058054;Klütz, Stadt;2;2;2608;1287;49,3;1;1,2;98,8;18,8;36,1;30,8;6,5;3,9;2,8;x;x;x;1,0;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058054;Klütz, Stadt;2;2;2608;1287;49,3;2;14;1273;220;458;378;105;43;38;6;1;24;x;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058054;Klütz, Stadt;2;2;2608;1287;49,3;2;1,1;98,9;17,3;36,0;29,7;8,2;3,4;3,0;0,5;0,1;1,9;x;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058109;Zierow;1;1;642;371;57,8;1;10;361;62;143;104;30;11;11;x;x;x;0;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058109;Zierow;1;1;642;371;57,8;1;2,7;97,3;17,2;39,6;28,8;8,3;3,0;3,0;x;x;x;0,0;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058109;Zierow;1;1;642;371;57,8;2;9;362;59;145;96;35;11;10;0;2;4;x;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058109;Zierow;1;1;642;371;57,8;2;2,4;97,6;16,3;40,1;26,5;9,7;3,0;2,8;0,0;0,6;1,1;x;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058113;Kalkhorst;2;2;1541;803;52,1;1;14;789;153;248;256;64;40;15;x;x;x;13;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058113;Kalkhorst;2;2;1541;803;52,1;1;1,7;98,3;19,4;31,4;32,4;8,1;5,1;1,9;x;x;x;1,6;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058113;Kalkhorst;2;2;1541;803;52,1;2;11;792;142;227;245;93;44;17;1;1;22;x;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058113;Kalkhorst;2;2;1541;803;52,1;2;1,4;98,6;17,9;28,7;30,9;11,7;5,6;2,1;0,1;0,1;2,8;x;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058116;Hohenkirchen;2;2;1150;610;53,0;1;14;596;111;183;203;48;37;11;x;x;x;3;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058116;Hohenkirchen;2;2;1150;610;53,0;1;2,3;97,7;18,6;30,7;34,1;8,1;6,2;1,8;x;x;x;0,5;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058116;Hohenkirchen;2;2;1150;610;53,0;2;15;595;103;159;196;76;40;11;0;2;8;x;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058116;Hohenkirchen;2;2;1150;610;53,0;2;2,5;97,5;17,3;26,7;32,9;12,8;6,7;1,8;0,0;0,3;1,3;x;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058118;Damshagen;2;2;1111;629;56,6;1;10;619;102;200;210;39;39;25;x;x;x;4;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058118;Damshagen;2;2;1111;629;56,6;1;1,6;98,4;16,5;32,3;33,9;6,3;6,3;4,0;x;x;x;0,6;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058118;Damshagen;2;2;1111;629;56,6;2;12;617;88;204;195;46;48;25;0;1;10;x;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058118;Damshagen;2;2;1111;629;56,6;2;1,9;98,1;14,3;33,1;31,6;7,5;7,8;4,1;0,0;0,2;1,6;x;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058716;Briefwahl Klützer Winkel;1;1;0;475;0,0;1;3;472;94;132;144;46;45;4;x;x;x;7;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058716;Briefwahl Klützer Winkel;1;1;0;475;0,0;1;0,6;99,4;19,9;28,0;30,5;9,7;9,5;0,8;x;x;x;1,5;
A;58;Nordwestmecklenburg;5816;Klützer Winkel;13058716;Briefwahl Klützer Winkel;1;1;0;475;0,0;2;3;472;86;151;132;38;51;4;0;0;10;x;
P;58;Nordwestmecklenburg;5816;Klützer Winkel;13058716;Briefwahl Klützer Winkel;1;1;0;475;0,0;2;0,6;99,4;18,2;32,0;28,0;8,1;10,8;0,8;0,0;0,0;2,1;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058007;Benz;1;1;524;268;51,1;1;5;263;49;110;64;15;10;13;x;x;x;2;
P;58;Nordwestmecklenburg;5819;Neuburg;13058007;Benz;1;1;524;268;51,1;1;1,9;98,1;18,6;41,8;24,3;5,7;3,8;4,9;x;x;x;0,8;
A;58;Nordwestmecklenburg;5819;Neuburg;13058007;Benz;1;1;524;268;51,1;2;4;264;44;93;64;30;17;14;0;1;1;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058007;Benz;1;1;524;268;51,1;2;1,5;98,5;16,7;35,2;24,2;11,4;6,4;5,3;0,0;0,4;0,4;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058010;Blowatz;1;1;924;496;53,7;1;9;487;101;131;178;32;29;14;x;x;x;2;
P;58;Nordwestmecklenburg;5819;Neuburg;13058010;Blowatz;1;1;924;496;53,7;1;1,8;98,2;20,7;26,9;36,6;6,6;6,0;2,9;x;x;x;0,4;
A;58;Nordwestmecklenburg;5819;Neuburg;13058010;Blowatz;1;1;924;496;53,7;2;7;489;93;120;168;48;32;14;1;1;12;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058010;Blowatz;1;1;924;496;53,7;2;1,4;98,6;19,0;24,5;34,4;9,8;6,5;2,9;0,2;0,2;2,5;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058012;Boiensdorf;1;1;437;236;54,0;1;7;229;29;98;73;18;4;6;x;x;x;1;
P;58;Nordwestmecklenburg;5819;Neuburg;13058012;Boiensdorf;1;1;437;236;54,0;1;3,0;97,0;12,7;42,8;31,9;7,9;1,7;2,6;x;x;x;0,4;
A;58;Nordwestmecklenburg;5819;Neuburg;13058012;Boiensdorf;1;1;437;236;54,0;2;5;231;27;96;66;24;4;4;0;0;10;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058012;Boiensdorf;1;1;437;236;54,0;2;2,1;97,9;11,7;41,6;28,6;10,4;1,7;1,7;0,0;0,0;4,3;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058049;Hornstorf;1;1;864;508;58,8;1;14;494;79;195;151;32;18;18;x;x;x;1;
P;58;Nordwestmecklenburg;5819;Neuburg;13058049;Hornstorf;1;1;864;508;58,8;1;2,8;97,2;16,0;39,5;30,6;6,5;3,6;3,6;x;x;x;0,2;
A;58;Nordwestmecklenburg;5819;Neuburg;13058049;Hornstorf;1;1;864;508;58,8;2;12;496;74;179;140;54;23;19;0;1;6;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058049;Hornstorf;1;1;864;508;58,8;2;2,4;97,6;14,9;36,1;28,2;10,9;4,6;3,8;0,0;0,2;1,2;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058059;Krusenhagen;1;1;441;280;63,5;1;6;274;45;84;96;21;13;14;x;x;x;1;
P;58;Nordwestmecklenburg;5819;Neuburg;13058059;Krusenhagen;1;1;441;280;63,5;1;2,1;97,9;16,4;30,7;35,0;7,7;4,7;5,1;x;x;x;0,4;
A;58;Nordwestmecklenburg;5819;Neuburg;13058059;Krusenhagen;1;1;441;280;63,5;2;5;275;39;73;96;36;12;14;2;0;3;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058059;Krusenhagen;1;1;441;280;63,5;2;1,8;98,2;14,2;26,5;34,9;13,1;4,4;5,1;0,7;0,0;1,1;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058073;Neuburg;2;2;1794;985;54,9;1;21;964;175;280;298;116;37;56;x;x;x;2;
P;58;Nordwestmecklenburg;5819;Neuburg;13058073;Neuburg;2;2;1794;985;54,9;1;2,1;97,9;18,2;29,0;30,9;12,0;3,8;5,8;x;x;x;0,2;
A;58;Nordwestmecklenburg;5819;Neuburg;13058073;Neuburg;2;2;1794;985;54,9;2;20;965;179;259;309;117;40;47;1;1;12;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058073;Neuburg;2;2;1794;985;54,9;2;2,0;98,0;18,5;26,8;32,0;12,1;4,1;4,9;0,1;0,1;1,2;x;
A;58;Nordwestmecklenburg;5819;Neuburg;13058719;Briefwahl Neuburg;1;1;0;314;0,0;1;1;313;48;114;89;26;30;2;x;x;x;4;
P;58;Nordwestmecklenburg;5819;Neuburg;13058719;Briefwahl Neuburg;1;1;0;314;0,0;1;0,3;99,7;15,3;36,4;28,4;8,3;9,6;0,6;x;x;x;1,3;
A;58;Nordwestmecklenburg;5819;Neuburg;13058719;Briefwahl Neuburg;1;1;0;314;0,0;2;2;312;46;117;87;23;28;3;2;0;6;x;
P;58;Nordwestmecklenburg;5819;Neuburg;13058719;Briefwahl Neuburg;1;1;0;314;0,0;2;0,6;99,4;14,7;37,5;27,9;7,4;9,0;1,0;0,6;0,0;1,9;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058018;Carlow;1;1;1022;567;55,5;1;14;553;127;201;142;38;34;10;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058018;Carlow;1;1;1022;567;55,5;1;2,5;97,5;23,0;36,3;25,7;6,9;6,1;1,8;x;x;x;0,2;
A;58;Nordwestmecklenburg;5822;Rehna;13058018;Carlow;1;1;1022;567;55,5;2;13;554;102;207;136;38;42;8;1;0;20;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058018;Carlow;1;1;1022;567;55,5;2;2,3;97,7;18,4;37,4;24,5;6,9;7,6;1,4;0,2;0,0;3,6;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058023;Dechow;1;1;157;105;66,9;1;1;104;26;30;25;7;12;3;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058023;Dechow;1;1;157;105;66,9;1;1,0;99,0;25,0;28,8;24,0;6,7;11,5;2,9;x;x;x;1,0;
A;58;Nordwestmecklenburg;5822;Rehna;13058023;Dechow;1;1;157;105;66,9;2;3;102;23;31;20;6;13;2;0;0;7;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058023;Dechow;1;1;157;105;66,9;2;2,9;97,1;22,5;30,4;19,6;5,9;12,7;2,0;0,0;0,0;6,9;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058038;Groß Molzahn;1;1;298;206;69,1;1;2;204;60;75;39;15;7;7;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058038;Groß Molzahn;1;1;298;206;69,1;1;1,0;99,0;29,4;36,8;19,1;7,4;3,4;3,4;x;x;x;0,5;
A;58;Nordwestmecklenburg;5822;Rehna;13058038;Groß Molzahn;1;1;298;206;69,1;2;1;205;57;68;39;22;8;8;0;0;3;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058038;Groß Molzahn;1;1;298;206;69,1;2;0,5;99,5;27,8;33,2;19,0;10,7;3,9;3,9;0,0;0,0;1,5;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058048;Holdorf;1;1;334;215;64,4;1;5;210;57;52;66;18;4;12;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058048;Holdorf;1;1;334;215;64,4;1;2,3;97,7;27,1;24,8;31,4;8,6;1,9;5,7;x;x;x;0,5;
A;58;Nordwestmecklenburg;5822;Rehna;13058048;Holdorf;1;1;334;215;64,4;2;2;213;52;50;70;22;6;8;0;0;5;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058048;Holdorf;1;1;334;215;64,4;2;0,9;99,1;24,4;23,5;32,9;10,3;2,8;3,8;0,0;0,0;2,3;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058056;Köchelstorf;1;1;343;168;49,0;1;2;166;28;74;39;18;5;1;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058056;Köchelstorf;1;1;343;168;49,0;1;1,2;98,8;16,9;44,6;23,5;10,8;3,0;0,6;x;x;x;0,6;
A;58;Nordwestmecklenburg;5822;Rehna;13058056;Köchelstorf;1;1;343;168;49,0;2;4;164;22;71;41;19;6;2;0;1;2;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058056;Köchelstorf;1;1;343;168;49,0;2;2,4;97,6;13,4;43,3;25,0;11,6;3,7;1,2;0,0;0,6;1,2;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058072;Nesow;1;1;206;107;51,9;1;2;105;14;42;31;8;6;3;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058072;Nesow;1;1;206;107;51,9;1;1,9;98,1;13,3;40,0;29,5;7,6;5,7;2,9;x;x;x;1,0;
A;58;Nordwestmecklenburg;5822;Rehna;13058072;Nesow;1;1;206;107;51,9;2;2;105;13;42;32;7;6;4;1;0;0;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058072;Nesow;1;1;206;107;51,9;2;1,9;98,1;12,4;40,0;30,5;6,7;5,7;3,8;1,0;0,0;0,0;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058084;Rehna, Stadt;3;3;2482;1333;53,7;1;30;1303;264;478;348;90;66;55;x;x;x;2;
P;58;Nordwestmecklenburg;5822;Rehna;13058084;Rehna, Stadt;3;3;2482;1333;53,7;1;2,3;97,7;20,3;36,7;26,7;6,9;5,1;4,2;x;x;x;0,2;
A;58;Nordwestmecklenburg;5822;Rehna;13058084;Rehna, Stadt;3;3;2482;1333;53,7;2;25;1308;243;457;340;119;66;52;1;4;26;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058084;Rehna, Stadt;3;3;2482;1333;53,7;2;1,9;98,1;18,6;34,9;26,0;9,1;5,0;4,0;0,1;0,3;2,0;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058086;Rieps;1;1;308;208;67,5;1;2;206;46;83;37;18;17;5;x;x;x;0;
P;58;Nordwestmecklenburg;5822;Rehna;13058086;Rieps;1;1;308;208;67,5;1;1,0;99,0;22,3;40,3;18,0;8,7;8,3;2,4;x;x;x;0,0;
A;58;Nordwestmecklenburg;5822;Rehna;13058086;Rieps;1;1;308;208;67,5;2;2;206;42;77;35;24;18;4;0;0;6;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058086;Rieps;1;1;308;208;67,5;2;1,0;99,0;20,4;37,4;17,0;11,7;8,7;1,9;0,0;0,0;2,9;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058093;Schlagsdorf;1;1;915;552;60,3;1;8;544;108;205;140;46;32;12;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058093;Schlagsdorf;1;1;915;552;60,3;1;1,4;98,6;19,9;37,7;25,7;8,5;5,9;2,2;x;x;x;0,2;
A;58;Nordwestmecklenburg;5822;Rehna;13058093;Schlagsdorf;1;1;915;552;60,3;2;6;546;85;199;138;63;27;12;0;1;21;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058093;Schlagsdorf;1;1;915;552;60,3;2;1,1;98,9;15,6;36,4;25,3;11,5;4,9;2,2;0,0;0,2;3,8;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058099;Thandorf;1;1;155;107;69,0;1;1;106;29;31;21;8;13;3;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058099;Thandorf;1;1;155;107;69,0;1;0,9;99,1;27,4;29,2;19,8;7,5;12,3;2,8;x;x;x;0,9;
A;58;Nordwestmecklenburg;5822;Rehna;13058099;Thandorf;1;1;155;107;69,0;2;1;106;23;30;23;12;9;2;0;2;5;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058099;Thandorf;1;1;155;107;69,0;2;0,9;99,1;21,7;28,3;21,7;11,3;8,5;1,9;0,0;1,9;4,7;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058101;Utecht;1;1;242;173;71,5;1;3;170;34;56;27;22;28;3;x;x;x;0;
P;58;Nordwestmecklenburg;5822;Rehna;13058101;Utecht;1;1;242;173;71,5;1;1,7;98,3;20,0;32,9;15,9;12,9;16,5;1,8;x;x;x;0,0;
A;58;Nordwestmecklenburg;5822;Rehna;13058101;Utecht;1;1;242;173;71,5;2;2;171;24;53;27;31;31;3;0;0;2;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058101;Utecht;1;1;242;173;71,5;2;1,2;98,8;14,0;31,0;15,8;18,1;18,1;1,8;0,0;0,0;1,2;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058104;Vitense;1;1;292;190;65,1;1;0;190;39;78;53;10;6;4;x;x;x;0;
P;58;Nordwestmecklenburg;5822;Rehna;13058104;Vitense;1;1;292;190;65,1;1;0,0;100,0;20,5;41,1;27,9;5,3;3,2;2,1;x;x;x;0,0;
A;58;Nordwestmecklenburg;5822;Rehna;13058104;Vitense;1;1;292;190;65,1;2;0;190;28;79;51;11;8;5;0;1;7;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058104;Vitense;1;1;292;190;65,1;2;0,0;100,0;14,7;41,6;26,8;5,8;4,2;2,6;0,0;0,5;3,7;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058107;Wedendorf;1;1;234;156;66,7;1;4;152;24;53;41;19;7;8;x;x;x;0;
P;58;Nordwestmecklenburg;5822;Rehna;13058107;Wedendorf;1;1;234;156;66,7;1;2,6;97,4;15,8;34,9;27,0;12,5;4,6;5,3;x;x;x;0,0;
A;58;Nordwestmecklenburg;5822;Rehna;13058107;Wedendorf;1;1;234;156;66,7;2;4;152;25;47;39;23;7;7;0;0;4;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058107;Wedendorf;1;1;234;156;66,7;2;2,6;97,4;16,4;30,9;25,7;15,1;4,6;4,6;0,0;0,0;2,6;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058115;Königsfeld;3;3;795;501;63,0;1;7;494;119;169;129;45;24;7;x;x;x;1;
P;58;Nordwestmecklenburg;5822;Rehna;13058115;Königsfeld;3;3;795;501;63,0;1;1,4;98,6;24,1;34,2;26,1;9,1;4,9;1,4;x;x;x;0,2;
A;58;Nordwestmecklenburg;5822;Rehna;13058115;Königsfeld;3;3;795;501;63,0;2;6;495;111;150;122;52;31;10;0;1;18;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058115;Königsfeld;3;3;795;501;63,0;2;1,2;98,8;22,4;30,3;24,6;10,5;6,3;2,0;0,0;0,2;3,6;x;
A;58;Nordwestmecklenburg;5822;Rehna;13058722;Briefwahl Rehna;1;1;0;565;0,0;1;7;558;116;215;113;46;54;9;x;x;x;5;
P;58;Nordwestmecklenburg;5822;Rehna;13058722;Briefwahl Rehna;1;1;0;565;0,0;1;1,2;98,8;20,8;38,5;20,3;8,2;9,7;1,6;x;x;x;0,9;
A;58;Nordwestmecklenburg;5822;Rehna;13058722;Briefwahl Rehna;1;1;0;565;0,0;2;2;563;94;229;104;46;68;5;2;2;13;x;
P;58;Nordwestmecklenburg;5822;Rehna;13058722;Briefwahl Rehna;1;1;0;565;0,0;2;0,4;99,6;16,7;40,7;18,5;8,2;12,1;0,9;0,4;0,4;2,3;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058026;Dragun;1;1;674;407;60,4;1;2;405;99;128;128;30;9;11;x;x;x;0;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058026;Dragun;1;1;674;407;60,4;1;0,5;99,5;24,4;31,6;31,6;7,4;2,2;2,7;x;x;x;0,0;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058026;Dragun;1;1;674;407;60,4;2;2;405;79;130;121;38;16;11;0;1;9;x;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058026;Dragun;1;1;674;407;60,4;2;0,5;99,5;19,5;32,1;29,9;9,4;4,0;2,7;0,0;0,2;2,2;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058028;Gadebusch, Stadt;4;4;4880;2616;53,6;1;45;2571;504;857;875;156;109;58;x;x;x;12;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058028;Gadebusch, Stadt;4;4;4880;2616;53,6;1;1,7;98,3;19,6;33,3;34,0;6,1;4,2;2,3;x;x;x;0,5;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058028;Gadebusch, Stadt;4;4;4880;2616;53,6;2;39;2577;474;848;799;226;96;60;3;3;68;x;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058028;Gadebusch, Stadt;4;4;4880;2616;53,6;2;1,5;98,5;18,4;32,9;31,0;8,8;3,7;2,3;0,1;0,1;2,6;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058055;Kneese;1;1;270;176;65,2;1;3;173;29;76;51;7;5;5;x;x;x;0;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058055;Kneese;1;1;270;176;65,2;1;1,7;98,3;16,8;43,9;29,5;4,0;2,9;2,9;x;x;x;0,0;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058055;Kneese;1;1;270;176;65,2;2;3;173;28;76;45;9;7;6;1;0;1;x;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058055;Kneese;1;1;270;176;65,2;2;1,7;98,3;16,2;43,9;26,0;5,2;4,0;3,5;0,6;0,0;0,6;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058058;Krembz;1;1;775;395;51,0;1;9;386;87;133;104;26;15;20;x;x;x;1;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058058;Krembz;1;1;775;395;51,0;1;2,3;97,7;22,5;34,5;26,9;6,7;3,9;5,2;x;x;x;0,3;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058058;Krembz;1;1;775;395;51,0;2;10;385;65;120;114;35;16;25;0;2;8;x;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058058;Krembz;1;1;775;395;51,0;2;2,5;97,5;16,9;31,2;29,6;9,1;4,2;6,5;0,0;0,5;2,1;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058071;Mühlen Eichsen;1;1;838;408;48,7;1;10;398;78;133;121;37;15;10;x;x;x;4;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058071;Mühlen Eichsen;1;1;838;408;48,7;1;2,5;97,5;19,6;33,4;30,4;9,3;3,8;2,5;x;x;x;1,0;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058071;Mühlen Eichsen;1;1;838;408;48,7;2;10;398;80;119;109;48;22;11;2;0;7;x;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058071;Mühlen Eichsen;1;1;838;408;48,7;2;2,5;97,5;20,1;29,9;27,4;12,1;5,5;2,8;0,5;0,0;1,8;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058088;Roggendorf;1;1;887;552;62,2;1;7;545;110;235;138;16;19;26;x;x;x;1;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058088;Roggendorf;1;1;887;552;62,2;1;1,3;98,7;20,2;43,1;25,3;2,9;3,5;4,8;x;x;x;0,2;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058088;Roggendorf;1;1;887;552;62,2;2;6;546;104;229;129;31;17;25;0;2;9;x;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058088;Roggendorf;1;1;887;552;62,2;2;1,1;98,9;19,0;41,9;23,6;5,7;3,1;4,6;0,0;0,4;1,6;x;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058090;Rögnitz;1;1;184;95;51,6;1;0;95;16;42;19;5;6;5;x;x;x;2;
P;58;Nordwestmecklenburg;5825;Gadebusch;13058090;Rögnitz;1;1;184;95;51,6;1;0,0;100,0;16,8;44,2;20,0;5,3;6,3;5,3;x;x;x;2,1;
A;58;Nordwestmecklenburg;5825;Gadebusch;13058090;Rögnitz;1;1;184;95;51,6;2;0;95;13;36;19;6;12;4;1;1;3;x;
