Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
P;57;Nordvorpommern;5715;Darß/Fischland;13057022;Dierhagen;2;2;1437;960;66,8;2;1,1;98,9;28,6;32,7;27,9;5,4;3,8;1,3;0,4;0;0;x
A;57;Nordvorpommern;5715;Darß/Fischland;13057068;Prerow;2;2;1422;963;67,7;1;21;942;262;431;175;26;20;22;x;x;x;6
P;57;Nordvorpommern;5715;Darß/Fischland;13057068;Prerow;2;2;1422;963;67,7;1;2,2;97,8;27,8;45,8;18,6;2,8;2,1;2,3;x;x;x;0,6
A;57;Nordvorpommern;5715;Darß/Fischland;13057068;Prerow;2;2;1422;963;67,7;2;18;945;278;345;175;83;34;23;4;1;2;x
P;57;Nordvorpommern;5715;Darß/Fischland;13057068;Prerow;2;2;1422;963;67,7;2;1,9;98,1;29,4;36,5;18,5;8,8;3,6;2,4;0,4;0,1;0,2;x
A;57;Nordvorpommern;5715;Darß/Fischland;13057091;Wieck a. Darß;1;1;614;384;62,5;1;13;371;117;127;78;17;6;26;x;x;x;0
P;57;Nordvorpommern;5715;Darß/Fischland;13057091;Wieck a. Darß;1;1;614;384;62,5;1;3,4;96,6;31,5;34,2;21;4,6;1,6;7;x;x;x;0
A;57;Nordvorpommern;5715;Darß/Fischland;13057091;Wieck a. Darß;1;1;614;384;62,5;2;10;374;107;115;82;23;17;22;5;0;3;x
P;57;Nordvorpommern;5715;Darß/Fischland;13057091;Wieck a. Darß;1;1;614;384;62,5;2;2,6;97,4;28,6;30,7;21,9;6,1;4,5;5,9;1,3;0;0,8;x
A;57;Nordvorpommern;5715;Darß/Fischland;13057094;Wustrow;1;1;1124;777;69,1;1;6;771;288;256;172;24;20;11;x;x;x;0
P;57;Nordvorpommern;5715;Darß/Fischland;13057094;Wustrow;1;1;1124;777;69,1;1;0,8;99,2;37,4;33,2;22,3;3,1;2,6;1,4;x;x;x;0
A;57;Nordvorpommern;5715;Darß/Fischland;13057094;Wustrow;1;1;1124;777;69,1;2;6;771;265;216;171;56;43;12;8;0;0;x
P;57;Nordvorpommern;5715;Darß/Fischland;13057094;Wustrow;1;1;1124;777;69,1;2;0,8;99,2;34,4;28;22,2;7,3;5,6;1,6;1;0;0;x
A;57;Nordvorpommern;5715;Darß/Fischland;13057715;Briefwahl Darß/Fischland;1;1;0;620;0;1;6;614;206;221;132;8;28;10;x;x;x;9
P;57;Nordvorpommern;5715;Darß/Fischland;13057715;Briefwahl Darß/Fischland;1;1;0;620;0;1;1;99;33,6;36;21,5;1,3;4,6;1,6;x;x;x;1,5
A;57;Nordvorpommern;5715;Darß/Fischland;13057715;Briefwahl Darß/Fischland;1;1;0;620;0;2;5;615;198;171;127;49;45;12;12;1;0;x
P;57;Nordvorpommern;5715;Darß/Fischland;13057715;Briefwahl Darß/Fischland;1;1;0;620;0;2;0,8;99,2;32,2;27,8;20,7;8;7,3;2;2;0,2;0;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057028;Franzburg, Stadt;2;2;1511;955;63,2;1;34;921;225;394;217;32;13;36;x;x;x;4
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057028;Franzburg, Stadt;2;2;1511;955;63,2;1;3,6;96,4;24,4;42,8;23,6;3,5;1,4;3,9;x;x;x;0,4
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057028;Franzburg, Stadt;2;2;1511;955;63,2;2;35;920;215;343;229;61;28;34;4;6;0;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057028;Franzburg, Stadt;2;2;1511;955;63,2;2;3,7;96,3;23,4;37,3;24,9;6,6;3;3,7;0,4;0,7;0;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057030;Glewitz;1;1;564;306;54,3;1;6;300;44;146;83;10;8;8;x;x;x;1
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057030;Glewitz;1;1;564;306;54,3;1;2;98;14,7;48,7;27,7;3,3;2,7;2,7;x;x;x;0,3
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057030;Glewitz;1;1;564;306;54,3;2;6;300;57;126;77;19;8;10;2;0;1;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057030;Glewitz;1;1;564;306;54,3;2;2;98;19;42;25,7;6,3;2,7;3,3;0,7;0;0,3;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057065;Papenhagen;1;1;513;330;64,3;1;8;322;38;162;83;13;5;18;x;x;x;3
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057065;Papenhagen;1;1;513;330;64,3;1;2,4;97,6;11,8;50,3;25,8;4;1,6;5,6;x;x;x;0,9
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057065;Papenhagen;1;1;513;330;64,3;2;6;324;41;150;86;16;6;20;1;1;3;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057065;Papenhagen;1;1;513;330;64,3;2;1,8;98,2;12,7;46,3;26,5;4,9;1,9;6,2;0,3;0,3;0,9;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057075;Richtenberg, Stadt;2;2;1289;800;62,1;1;18;782;141;444;133;23;8;27;x;x;x;6
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057075;Richtenberg, Stadt;2;2;1289;800;62,1;1;2,3;97,8;18;56,8;17;2,9;1;3,5;x;x;x;0,8
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057075;Richtenberg, Stadt;2;2;1289;800;62,1;2;20;780;144;387;133;62;15;31;3;3;2;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057075;Richtenberg, Stadt;2;2;1289;800;62,1;2;2,5;97,5;18,5;49,6;17,1;7,9;1,9;4;0,4;0,4;0,3;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057081;Splietsdorf;1;1;481;288;59,9;1;4;284;73;137;51;11;1;11;x;x;x;0
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057081;Splietsdorf;1;1;481;288;59,9;1;1,4;98,6;25,7;48,2;18;3,9;0,4;3,9;x;x;x;0
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057081;Splietsdorf;1;1;481;288;59,9;2;6;282;77;104;53;19;6;23;0;0;0;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057081;Splietsdorf;1;1;481;288;59,9;2;2,1;97,9;27,3;36,9;18,8;6,7;2,1;8,2;0;0;0;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057087;Velgast;3;3;1699;995;58,6;1;19;976;247;420;211;33;13;42;x;x;x;10
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057087;Velgast;3;3;1699;995;58,6;1;1,9;98,1;25,3;43;21,6;3,4;1,3;4,3;x;x;x;1
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057087;Velgast;3;3;1699;995;58,6;2;21;974;250;369;223;58;25;40;5;2;2;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057087;Velgast;3;3;1699;995;58,6;2;2,1;97,9;25,7;37,9;22,9;6;2,6;4,1;0,5;0,2;0,2;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057088;Weitenhagen;1;1;222;150;67,6;1;6;144;28;69;26;10;1;6;x;x;x;4
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057088;Weitenhagen;1;1;222;150;67,6;1;4;96;19,4;47,9;18,1;6,9;0,7;4,2;x;x;x;2,8
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057088;Weitenhagen;1;1;222;150;67,6;2;7;143;26;62;33;12;2;4;2;0;2;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057088;Weitenhagen;1;1;222;150;67,6;2;4,7;95,3;18,2;43,4;23,1;8,4;1,4;2,8;1,4;0;1,4;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057089;Wendisch Baggendorf;1;1;454;304;67;1;9;295;85;84;103;6;3;13;x;x;x;1
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057089;Wendisch Baggendorf;1;1;454;304;67;1;3;97;28,8;28,5;34,9;2;1;4,4;x;x;x;0,3
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057089;Wendisch Baggendorf;1;1;454;304;67;2;9;295;96;71;91;17;7;12;0;1;0;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057089;Wendisch Baggendorf;1;1;454;304;67;2;3;97;32,5;24,1;30,8;5,8;2,4;4,1;0;0,3;0;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057099;Gremersdorf-Buchholz;2;2;618;405;65,5;1;12;393;72;156;131;12;4;16;x;x;x;2
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057099;Gremersdorf-Buchholz;2;2;618;405;65,5;1;3;97;18,3;39,7;33,3;3,1;1;4,1;x;x;x;0,5
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057099;Gremersdorf-Buchholz;2;2;618;405;65,5;2;12;393;73;146;124;22;4;18;2;3;1;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057099;Gremersdorf-Buchholz;2;2;618;405;65,5;2;3;97;18,6;37,2;31,6;5,6;1;4,6;0,5;0,8;0,3;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057100;Millienhagen-Oebelitz;1;1;318;175;55;1;9;166;39;65;46;8;1;7;x;x;x;0
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057100;Millienhagen-Oebelitz;1;1;318;175;55;1;5,1;94,9;23,5;39,2;27,7;4,8;0,6;4,2;x;x;x;0
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057100;Millienhagen-Oebelitz;1;1;318;175;55;2;9;166;34;51;56;10;5;8;1;1;0;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057100;Millienhagen-Oebelitz;1;1;318;175;55;2;5,1;94,9;20,5;30,7;33,7;6;3;4,8;0,6;0,6;0;x
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057716;Briefwahl Franzburg-Richtenberg;1;1;0;390;0;1;3;387;95;166;88;16;5;9;x;x;x;8
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057716;Briefwahl Franzburg-Richtenberg;1;1;0;390;0;1;0,8;99,2;24,5;42,9;22,7;4,1;1,3;2,3;x;x;x;2,1
A;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057716;Briefwahl Franzburg-Richtenberg;1;1;0;390;0;2;4;386;97;142;92;21;14;13;3;3;1;x
P;57;Nordvorpommern;5716;Franzburg-Richtenberg;13057716;Briefwahl Franzburg-Richtenberg;1;1;0;390;0;2;1;99;25,1;36,8;23,8;5,4;3,6;3,4;0,8;0,8;0,3;x
A;57;Nordvorpommern;5719;Miltzow;13057011;Behnkendorf;1;1;327;223;68,2;1;10;213;43;105;44;5;6;9;x;x;x;1
P;57;Nordvorpommern;5719;Miltzow;13057011;Behnkendorf;1;1;327;223;68,2;1;4,5;95,5;20,2;49,3;20,7;2,3;2,8;4,2;x;x;x;0,5
A;57;Nordvorpommern;5719;Miltzow;13057011;Behnkendorf;1;1;327;223;68,2;2;9;214;42;89;48;13;8;11;1;0;2;x
P;57;Nordvorpommern;5719;Miltzow;13057011;Behnkendorf;1;1;327;223;68,2;2;4;96;19,6;41,6;22,4;6,1;3,7;5,1;0,5;0;0,9;x
A;57;Nordvorpommern;5719;Miltzow;13057014;Brandshagen;1;1;1068;745;69,8;1;13;732;178;298;182;21;14;31;x;x;x;8
P;57;Nordvorpommern;5719;Miltzow;13057014;Brandshagen;1;1;1068;745;69,8;1;1,7;98,3;24,3;40,7;24,9;2,9;1,9;4,2;x;x;x;1,1
A;57;Nordvorpommern;5719;Miltzow;13057014;Brandshagen;1;1;1068;745;69,8;2;16;729;180;250;186;44;23;40;3;2;1;x
P;57;Nordvorpommern;5719;Miltzow;13057014;Brandshagen;1;1;1068;745;69,8;2;2,1;97,9;24,7;34,3;25,5;6;3,2;5,5;0,4;0,3;0,1;x
A;57;Nordvorpommern;5719;Miltzow;13057027;Elmenhorst;1;1;633;447;70,6;1;15;432;84;201;110;13;4;18;x;x;x;2
P;57;Nordvorpommern;5719;Miltzow;13057027;Elmenhorst;1;1;633;447;70,6;1;3,4;96,6;19,4;46,5;25,5;3;0,9;4,2;x;x;x;0,5
A;57;Nordvorpommern;5719;Miltzow;13057027;Elmenhorst;1;1;633;447;70,6;2;15;432;98;177;96;30;7;19;3;0;2;x
P;57;Nordvorpommern;5719;Miltzow;13057027;Elmenhorst;1;1;633;447;70,6;2;3,4;96,6;22,7;41;22,2;6,9;1,6;4,4;0,7;0;0,5;x
A;57;Nordvorpommern;5719;Miltzow;13057039;Horst;1;1;438;304;69,4;1;10;294;90;101;81;2;14;4;x;x;x;2
P;57;Nordvorpommern;5719;Miltzow;13057039;Horst;1;1;438;304;69,4;1;3,3;96,7;30,6;34,4;27,6;0,7;4,8;1,4;x;x;x;0,7
A;57;Nordvorpommern;5719;Miltzow;13057039;Horst;1;1;438;304;69,4;2;8;296;100;76;79;17;18;3;0;2;1;x
P;57;Nordvorpommern;5719;Miltzow;13057039;Horst;1;1;438;304;69,4;2;2,6;97,4;33,8;25,7;26,7;5,7;6,1;1;0;0,7;0,3;x
A;57;Nordvorpommern;5719;Miltzow;13057046;Kirchdorf;1;1;479;335;69,9;1;4;331;65;158;79;6;12;10;x;x;x;1
P;57;Nordvorpommern;5719;Miltzow;13057046;Kirchdorf;1;1;479;335;69,9;1;1,2;98,8;19,6;47,7;23,9;1,8;3,6;3;x;x;x;0,3
A;57;Nordvorpommern;5719;Miltzow;13057046;Kirchdorf;1;1;479;335;69,9;2;5;330;64;134;91;21;7;11;0;1;1;x
P;57;Nordvorpommern;5719;Miltzow;13057046;Kirchdorf;1;1;479;335;69,9;2;1,5;98,5;19,4;40,6;27,6;6,4;2,1;3,3;0;0,3;0,3;x
A;57;Nordvorpommern;5719;Miltzow;13057059;Miltzow;1;1;1108;725;65,4;1;27;698;164;304;172;12;7;35;x;x;x;4
P;57;Nordvorpommern;5719;Miltzow;13057059;Miltzow;1;1;1108;725;65,4;1;3,7;96,3;23,5;43,6;24,6;1,7;1;5;x;x;x;0,6
A;57;Nordvorpommern;5719;Miltzow;13057059;Miltzow;1;1;1108;725;65,4;2;28;697;155;271;168;45;10;41;3;2;2;x
P;57;Nordvorpommern;5719;Miltzow;13057059;Miltzow;1;1;1108;725;65,4;2;3,9;96,1;22,2;38,9;24,1;6,5;1,4;5,9;0,4;0,3;0,3;x
A;57;Nordvorpommern;5719;Miltzow;13057073;Reinberg;1;1;942;632;67,1;1;14;618;131;238;180;28;18;21;x;x;x;2
P;57;Nordvorpommern;5719;Miltzow;13057073;Reinberg;1;1;942;632;67,1;1;2,2;97,8;21,2;38,5;29,1;4,5;2,9;3,4;x;x;x;0,3
A;57;Nordvorpommern;5719;Miltzow;13057073;Reinberg;1;1;942;632;67,1;2;20;612;119;205;188;43;27;28;1;1;0;x
P;57;Nordvorpommern;5719;Miltzow;13057073;Reinberg;1;1;942;632;67,1;2;3,2;96,8;19,4;33,5;30,7;7;4,4;4,6;0,2;0,2;0;x
A;57;Nordvorpommern;5719;Miltzow;13057092;Wilmshagen;1;1;262;156;59,5;1;3;153;32;54;65;2;0;0;x;x;x;0
P;57;Nordvorpommern;5719;Miltzow;13057092;Wilmshagen;1;1;262;156;59,5;1;1,9;98,1;20,9;35,3;42,5;1,3;0;0;x;x;x;0
A;57;Nordvorpommern;5719;Miltzow;13057092;Wilmshagen;1;1;262;156;59,5;2;4;152;39;52;53;2;4;0;1;0;1;x
P;57;Nordvorpommern;5719;Miltzow;13057092;Wilmshagen;1;1;262;156;59,5;2;2,6;97,4;25,7;34,2;34,9;1,3;2,6;0;0,7;0;0,7;x
A;57;Nordvorpommern;5719;Miltzow;13057093;Wittenhagen;1;1;1055;698;66,2;1;20;678;155;317;160;12;6;25;x;x;x;3
P;57;Nordvorpommern;5719;Miltzow;13057093;Wittenhagen;1;1;1055;698;66,2;1;2,9;97,1;22,9;46,8;23,6;1,8;0,9;3,7;x;x;x;0,4
A;57;Nordvorpommern;5719;Miltzow;13057093;Wittenhagen;1;1;1055;698;66,2;2;19;679;141;267;167;53;8;34;6;3;0;x
P;57;Nordvorpommern;5719;Miltzow;13057093;Wittenhagen;1;1;1055;698;66,2;2;2,7;97,3;20,8;39,3;24,6;7,8;1,2;5;0,9;0,4;0;x
A;57;Nordvorpommern;5719;Miltzow;13057719;Briefwahl Miltzow;1;1;0;323;0;1;3;320;59;108;115;11;14;9;x;x;x;4
P;57;Nordvorpommern;5719;Miltzow;13057719;Briefwahl Miltzow;1;1;0;323;0;1;0,9;99,1;18,4;33,8;35,9;3,4;4,4;2,8;x;x;x;1,3
A;57;Nordvorpommern;5719;Miltzow;13057719;Briefwahl Miltzow;1;1;0;323;0;2;3;320;65;91;108;22;21;10;0;2;1;x
P;57;Nordvorpommern;5719;Miltzow;13057719;Briefwahl Miltzow;1;1;0;323;0;2;0,9;99,1;20,3;28,4;33,8;6,9;6,6;3,1;0;0,6;0,3;x
A;57;Nordvorpommern;5720;Niepars;13057037;Groß Kordshagen;2;2;335;248;74;1;8;240;39;116;48;7;7;21;x;x;x;2
P;57;Nordvorpommern;5720;Niepars;13057037;Groß Kordshagen;2;2;335;248;74;1;3,2;96,8;16,3;48,3;20;2,9;2,9;8,8;x;x;x;0,8
A;57;Nordvorpommern;5720;Niepars;13057037;Groß Kordshagen;2;2;335;248;74;2;9;239;35;102;48;19;12;20;3;0;0;x
P;57;Nordvorpommern;5720;Niepars;13057037;Groß Kordshagen;2;2;335;248;74;2;3,6;96,4;14,6;42,7;20,1;7,9;5;8,4;1,3;0;0;x
A;57;Nordvorpommern;5720;Niepars;13057041;Jakobsdorf;1;1;443;279;63;1;11;268;41;158;45;4;3;12;x;x;x;5
P;57;Nordvorpommern;5720;Niepars;13057041;Jakobsdorf;1;1;443;279;63;1;3,9;96,1;15,3;59;16,8;1,5;1,1;4,5;x;x;x;1,9
A;57;Nordvorpommern;5720;Niepars;13057041;Jakobsdorf;1;1;443;279;63;2;11;268;46;137;39;19;6;13;2;5;1;x
P;57;Nordvorpommern;5720;Niepars;13057041;Jakobsdorf;1;1;443;279;63;2;3,9;96,1;17,2;51,1;14,6;7,1;2,2;4,9;0,7;1,9;0,4;x
A;57;Nordvorpommern;5720;Niepars;13057051;Kummerow;1;1;306;216;70,6;1;11;205;51;85;38;8;3;17;x;x;x;3
P;57;Nordvorpommern;5720;Niepars;13057051;Kummerow;1;1;306;216;70,6;1;5,1;94,9;24,9;41,5;18,5;3,9;1,5;8,3;x;x;x;1,5
A;57;Nordvorpommern;5720;Niepars;13057051;Kummerow;1;1;306;216;70,6;2;9;207;49;79;45;14;2;15;1;2;0;x
P;57;Nordvorpommern;5720;Niepars;13057051;Kummerow;1;1;306;216;70,6;2;4,2;95,8;23,7;38,2;21,7;6,8;1;7,2;0,5;1;0;x
A;57;Nordvorpommern;5720;Niepars;13057056;Lüssow;1;1;755;490;64,9;1;5;485;125;224;89;15;8;16;x;x;x;8
P;57;Nordvorpommern;5720;Niepars;13057056;Lüssow;1;1;755;490;64,9;1;1;99;25,8;46,2;18,4;3,1;1,6;3,3;x;x;x;1,6
A;57;Nordvorpommern;5720;Niepars;13057056;Lüssow;1;1;755;490;64,9;2;7;483;138;185;86;47;13;11;3;0;0;x
P;57;Nordvorpommern;5720;Niepars;13057056;Lüssow;1;1;755;490;64,9;2;1,4;98,6;28,6;38,3;17,8;9,7;2,7;2,3;0,6;0;0;x
A;57;Nordvorpommern;5720;Niepars;13057060;Neu Bartelshagen;1;1;306;204;66,7;1;4;200;39;91;47;3;4;14;x;x;x;2
P;57;Nordvorpommern;5720;Niepars;13057060;Neu Bartelshagen;1;1;306;204;66,7;1;2;98;19,5;45,5;23,5;1,5;2;7;x;x;x;1
A;57;Nordvorpommern;5720;Niepars;13057060;Neu Bartelshagen;1;1;306;204;66,7;2;5;199;40;82;51;6;2;15;0;3;0;x
P;57;Nordvorpommern;5720;Niepars;13057060;Neu Bartelshagen;1;1;306;204;66,7;2;2,5;97,5;20,1;41,2;25,6;3;1;7,5;0;1,5;0;x
A;57;Nordvorpommern;5720;Niepars;13057062;Niepars;3;3;1593;986;61,9;1;27;959;199;449;189;35;12;61;x;x;x;14
P;57;Nordvorpommern;5720;Niepars;13057062;Niepars;3;3;1593;986;61,9;1;2,7;97,3;20,8;46,8;19,7;3,6;1,3;6,4;x;x;x;1,5
A;57;Nordvorpommern;5720;Niepars;13057062;Niepars;3;3;1593;986;61,9;2;25;961;201;383;194;82;23;63;5;7;3;x
P;57;Nordvorpommern;5720;Niepars;13057062;Niepars;3;3;1593;986;61,9;2;2,5;97,5;20,9;39,9;20,2;8,5;2,4;6,6;0,5;0,7;0,3;x
A;57;Nordvorpommern;5720;Niepars;13057064;Pantelitz;1;1;606;421;69,5;1;10;411;69;208;79;15;4;23;x;x;x;13
P;57;Nordvorpommern;5720;Niepars;13057064;Pantelitz;1;1;606;421;69,5;1;2,4;97,6;16,8;50,6;19,2;3,6;1;5,6;x;x;x;3,2
A;57;Nordvorpommern;5720;Niepars;13057064;Pantelitz;1;1;606;421;69,5;2;9;412;78;167;88;50;4;21;1;1;2;x
P;57;Nordvorpommern;5720;Niepars;13057064;Pantelitz;1;1;606;421;69,5;2;2,1;97,9;18,9;40,5;21,4;12,1;1;5,1;0,2;0,2;0,5;x
A;57;Nordvorpommern;5720;Niepars;13057083;Steinhagen;4;4;2239;1533;68,5;1;26;1507;336;771;275;37;26;28;x;x;x;34
P;57;Nordvorpommern;5720;Niepars;13057083;Steinhagen;4;4;2239;1533;68,5;1;1,7;98,3;22,3;51,2;18,2;2,5;1,7;1,9;x;x;x;2,3
A;57;Nordvorpommern;5720;Niepars;13057083;Steinhagen;4;4;2239;1533;68,5;2;27;1506;365;667;277;105;46;28;13;4;1;x
P;57;Nordvorpommern;5720;Niepars;13057083;Steinhagen;4;4;2239;1533;68,5;2;1,8;98,2;24,2;44,3;18,4;7;3,1;1,9;0,9;0,3;0,1;x
A;57;Nordvorpommern;5720;Niepars;13057090;Wendorf;1;1;857;588;68,6;1;12;576;121;266;127;19;3;18;x;x;x;22
P;57;Nordvorpommern;5720;Niepars;13057090;Wendorf;1;1;857;588;68,6;1;2;98;21;46,2;22;3,3;0,5;3,1;x;x;x;3,8
A;57;Nordvorpommern;5720;Niepars;13057090;Wendorf;1;1;857;588;68,6;2;11;577;130;219;144;41;9;21;10;3;0;x
P;57;Nordvorpommern;5720;Niepars;13057090;Wendorf;1;1;857;588;68,6;2;1,9;98,1;22,5;38;25;7,1;1,6;3,6;1,7;0,5;0;x
A;57;Nordvorpommern;5720;Niepars;13057095;Zarrendorf;1;1;917;645;70,3;1;16;629;121;308;155;14;4;20;x;x;x;7
P;57;Nordvorpommern;5720;Niepars;13057095;Zarrendorf;1;1;917;645;70,3;1;2,5;97,5;19,2;49;24,6;2,2;0,6;3,2;x;x;x;1,1
A;57;Nordvorpommern;5720;Niepars;13057095;Zarrendorf;1;1;917;645;70,3;2;16;629;112;257;166;46;18;26;2;1;1;x
P;57;Nordvorpommern;5720;Niepars;13057095;Zarrendorf;1;1;917;645;70,3;2;2,5;97,5;17,8;40,9;26,4;7,3;2,9;4,1;0,3;0,2;0,2;x
A;57;Nordvorpommern;5720;Niepars;13057720;Briefwahl Niepars;1;1;0;692;0;1;11;681;173;298;144;11;21;11;x;x;x;23
P;57;Nordvorpommern;5720;Niepars;13057720;Briefwahl Niepars;1;1;0;692;0;1;1,6;98,4;25,4;43,8;21,1;1,6;3,1;1,6;x;x;x;3,4
A;57;Nordvorpommern;5720;Niepars;13057720;Briefwahl Niepars;1;1;0;692;0;2;8;684;187;252;152;45;25;17;5;0;1;x
P;57;Nordvorpommern;5720;Niepars;13057720;Briefwahl Niepars;1;1;0;692;0;2;1,2;98,8;27,3;36,8;22,2;6,6;3,7;2,5;0,7;0;0,1;x
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057006;Bad Sülze, Stadt;2;2;1629;891;54,7;1;19;872;271;318;194;31;16;40;x;x;x;2
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057006;Bad Sülze, Stadt;2;2;1629;891;54,7;1;2,1;97,9;31,1;36,5;22,2;3,6;1,8;4,6;x;x;x;0,2
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057006;Bad Sülze, Stadt;2;2;1629;891;54,7;2;19;872;261;285;202;50;27;41;2;2;2;x
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057006;Bad Sülze, Stadt;2;2;1629;891;54,7;2;2,1;97,9;29,9;32,7;23,2;5,7;3,1;4,7;0,2;0,2;0,2;x
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057020;Dettmannsdorf;2;2;949;600;63,2;1;11;589;123;280;146;18;4;17;x;x;x;1
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057020;Dettmannsdorf;2;2;949;600;63,2;1;1,8;98,2;20,9;47,5;24,8;3,1;0,7;2,9;x;x;x;0,2
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057020;Dettmannsdorf;2;2;949;600;63,2;2;13;587;114;256;140;45;9;19;3;1;0;x
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057020;Dettmannsdorf;2;2;949;600;63,2;2;2,2;97,8;19,4;43,6;23,9;7,7;1,5;3,2;0,5;0,2;0;x
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057021;Deyelsdorf;1;1;462;262;56,7;1;9;253;67;122;47;6;5;6;x;x;x;0
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057021;Deyelsdorf;1;1;462;262;56,7;1;3,4;96,6;26,5;48,2;18,6;2,4;2;2,4;x;x;x;0
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057021;Deyelsdorf;1;1;462;262;56,7;2;12;250;61;104;45;22;7;6;2;2;1;x
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057021;Deyelsdorf;1;1;462;262;56,7;2;4,6;95,4;24,4;41,6;18;8,8;2,8;2,4;0,8;0,8;0,4;x
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057024;Drechow;1;1;259;158;61;1;1;157;31;76;45;0;2;3;x;x;x;0
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057024;Drechow;1;1;259;158;61;1;0,6;99,4;19,7;48,4;28,7;0;1,3;1,9;x;x;x;0
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057024;Drechow;1;1;259;158;61;2;2;156;31;63;44;10;4;4;0;0;0;x
P;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057024;Drechow;1;1;259;158;61;2;1,3;98,7;19,9;40,4;28,2;6,4;2,6;2,6;0;0;0;x
A;57;Nordvorpommern;5724;Recknitz-Trebeltal;13057026;Eixen;3;3;736;444;60,3;1;9;435;99;188;105;18;6;15;x;x;x;4
