Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 18. September 2005;;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;;

Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;Die Linke.;FDP;GRÜNE;NPD;GRAUE;MLPD;PBC;Einzelbewerber
A;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3578;2470;69;2;49;2421;835;690;591;131;72;75;14;7;6;x
P;51;Bad Doberan;5104;Neubukow, Stadt;13051047;Neubukow, Stadt;4;4;3578;2470;69;2;2;98;34,5;28,5;24,4;5,4;3;3,1;0,6;0,3;0,2;x
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4856;3655;75,3;1;77;3578;1245;1158;798;196;160;x;x;21;x;x
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4856;3655;75,3;1;2,1;97,9;34,8;32,4;22,3;5,5;4,5;x;x;0,6;x;x
A;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4856;3655;75,3;2;66;3589;1240;1030;824;236;117;96;32;6;8;x
P;51;Bad Doberan;5106;Sanitz;13051068;Sanitz;7;7;4856;3655;75,3;2;1,8;98,2;34,6;28,7;23;6,6;3,3;2,7;0,9;0,2;0,2;x
A;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4909;3668;74,7;1;56;3612;1332;1129;772;142;93;116;x;x;8;20
P;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4909;3668;74,7;1;1,5;98,5;36,9;31,3;21,4;3,9;2,6;3,2;x;x;0,2;0,6
A;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4909;3668;74,7;2;46;3622;1264;1075;806;235;100;125;8;7;2;x
P;51;Bad Doberan;5107;Satow;13051086;Satow;9;9;4909;3668;74,7;2;1,3;98,7;34,9;29,7;22,3;6,5;2,8;3,5;0,2;0,2;0,1;x
