Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 22. September 2002;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;PDS;GRÜNE;FDP;NPD;REP;Schill;Einzelbewerber
P;57;Nordvorpommern;5723;Tribsees;13057723;Briefwahl Tribsees;1;1;0;144;0;2;2,8;97,2;40,7;37,1;15,7;0,7;4,3;0,7;0;0,7;x
A;58;Nordwestmecklenburg;5801;Boltenhagen;13058014;Boltenhagen;5;5;2065;1507;73;1;50;1457;638;490;227;43;59;x;x;x;x
P;58;Nordwestmecklenburg;5801;Boltenhagen;13058014;Boltenhagen;5;5;2065;1507;73;1;3,3;96,7;43,8;33,6;15,6;3;4;x;x;x;x
A;58;Nordwestmecklenburg;5801;Boltenhagen;13058014;Boltenhagen;5;5;2065;1507;73;2;27;1480;663;412;222;61;79;5;6;32;x
P;58;Nordwestmecklenburg;5801;Boltenhagen;13058014;Boltenhagen;5;5;2065;1507;73;2;1,8;98,2;44,8;27,8;15;4,1;5,3;0,3;0,4;2,2;x
A;58;Nordwestmecklenburg;5802;Gadebusch, Stadt;13058028;Gadebusch, Stadt;5;5;4984;3519;70,6;1;96;3423;1624;910;635;86;168;x;x;x;x
P;58;Nordwestmecklenburg;5802;Gadebusch, Stadt;13058028;Gadebusch, Stadt;5;5;4984;3519;70,6;1;2,7;97,3;47,4;26,6;18,6;2,5;4,9;x;x;x;x
A;58;Nordwestmecklenburg;5802;Gadebusch, Stadt;13058028;Gadebusch, Stadt;5;5;4984;3519;70,6;2;67;3452;1620;859;616;109;153;16;5;74;x
P;58;Nordwestmecklenburg;5802;Gadebusch, Stadt;13058028;Gadebusch, Stadt;5;5;4984;3519;70,6;2;1,9;98,1;46,9;24,9;17,8;3,2;4,4;0,5;0,1;2,1;x
A;58;Nordwestmecklenburg;5803;Grevesmühlen, Stadt;13058034;Grevesmühlen, Stadt;9;9;9215;6259;67,9;1;217;6042;3058;1792;903;113;176;x;x;x;x
P;58;Nordwestmecklenburg;5803;Grevesmühlen, Stadt;13058034;Grevesmühlen, Stadt;9;9;9215;6259;67,9;1;3,5;96,5;50,6;29,7;14,9;1,9;2,9;x;x;x;x
A;58;Nordwestmecklenburg;5803;Grevesmühlen, Stadt;13058034;Grevesmühlen, Stadt;9;9;9215;6259;67,9;2;138;6121;3069;1641;857;152;216;36;8;142;x
P;58;Nordwestmecklenburg;5803;Grevesmühlen, Stadt;13058034;Grevesmühlen, Stadt;9;9;9215;6259;67,9;2;2,2;97,8;50,1;26,8;14;2,5;3,5;0,6;0,1;2,3;x
A;58;Nordwestmecklenburg;5804;Insel Poel;13058050;Insel Poel;3;3;2364;1648;69,7;1;69;1579;731;527;227;29;65;x;x;x;x
P;58;Nordwestmecklenburg;5804;Insel Poel;13058050;Insel Poel;3;3;2364;1648;69,7;1;4,2;95,8;46,3;33,4;14,4;1,8;4,1;x;x;x;x
A;58;Nordwestmecklenburg;5804;Insel Poel;13058050;Insel Poel;3;3;2364;1648;69,7;2;44;1604;717;514;209;46;70;5;5;38;x
P;58;Nordwestmecklenburg;5804;Insel Poel;13058050;Insel Poel;3;3;2364;1648;69,7;2;2,7;97,3;44,7;32;13;2,9;4,4;0,3;0,3;2,4;x
A;58;Nordwestmecklenburg;5805;Schönberg, Stadt;13058094;Schönberg, Stadt;4;4;3503;2287;65,3;1;72;2215;1026;684;380;40;85;x;x;x;x
P;58;Nordwestmecklenburg;5805;Schönberg, Stadt;13058094;Schönberg, Stadt;4;4;3503;2287;65,3;1;3,1;96,9;46,3;30,9;17,2;1,8;3,8;x;x;x;x
A;58;Nordwestmecklenburg;5805;Schönberg, Stadt;13058094;Schönberg, Stadt;4;4;3503;2287;65,3;2;46;2241;997;628;367;61;109;15;7;57;x
P;58;Nordwestmecklenburg;5805;Schönberg, Stadt;13058094;Schönberg, Stadt;4;4;3503;2287;65,3;2;2;98;44,5;28;16,4;2,7;4,9;0,7;0,3;2,5;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058003;Bad Kleinen;3;3;3036;1857;61,2;1;62;1795;797;559;275;54;110;x;x;x;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058003;Bad Kleinen;3;3;3036;1857;61,2;1;3,3;96,7;44,4;31,1;15,3;3;6,1;x;x;x;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058003;Bad Kleinen;3;3;3036;1857;61,2;2;41;1816;804;539;263;51;121;4;4;30;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058003;Bad Kleinen;3;3;3036;1857;61,2;2;2,2;97,8;44,3;29,7;14,5;2,8;6,7;0,2;0,2;1,7;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058006;Beidendorf;1;1;620;415;66,9;1;12;403;180;142;56;5;20;x;x;x;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058006;Beidendorf;1;1;620;415;66,9;1;2,9;97,1;44,7;35,2;13,9;1,2;5;x;x;x;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058006;Beidendorf;1;1;620;415;66,9;2;13;402;175;131;51;5;30;2;2;6;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058006;Beidendorf;1;1;620;415;66,9;2;3,1;96,9;43,5;32,6;12,7;1,2;7,5;0,5;0,5;1,5;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058011;Bobitz;1;1;1078;713;66,1;1;16;697;336;214;91;29;27;x;x;x;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058011;Bobitz;1;1;1078;713;66,1;1;2,2;97,8;48,2;30,7;13,1;4,2;3,9;x;x;x;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058011;Bobitz;1;1;1078;713;66,1;2;9;704;333;205;82;41;34;2;0;7;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058011;Bobitz;1;1;1078;713;66,1;2;1,3;98,7;47,3;29,1;11,6;5,8;4,8;0,3;0;1;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058047;Hohen Viecheln;1;1;536;344;64,2;1;9;335;126;147;36;12;14;x;x;x;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058047;Hohen Viecheln;1;1;536;344;64,2;1;2,6;97,4;37,6;43,9;10,7;3,6;4,2;x;x;x;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058047;Hohen Viecheln;1;1;536;344;64,2;2;12;332;127;138;34;11;18;2;0;2;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058047;Hohen Viecheln;1;1;536;344;64,2;2;3,5;96,5;38,3;41,6;10,2;3,3;5,4;0,6;0;0,6;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058103;Ventschow;1;1;681;452;66,4;1;26;426;178;145;88;7;8;x;x;x;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058103;Ventschow;1;1;681;452;66,4;1;5,8;94,2;41,8;34;20,7;1,6;1,9;x;x;x;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058103;Ventschow;1;1;681;452;66,4;2;19;433;178;140;79;7;17;5;2;5;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058103;Ventschow;1;1;681;452;66,4;2;4,2;95,8;41,1;32,3;18,2;1,6;3,9;1,2;0,5;1,2;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058711;Briefwahl Bad Kleinen;1;1;0;325;0;1;2;323;153;97;46;13;14;x;x;x;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058711;Briefwahl Bad Kleinen;1;1;0;325;0;1;0,6;99,4;47,4;30;14,2;4;4,3;x;x;x;x
A;58;Nordwestmecklenburg;5811;Bad Kleinen;13058711;Briefwahl Bad Kleinen;1;1;0;325;0;2;1;324;142;90;43;19;18;2;2;8;x
P;58;Nordwestmecklenburg;5811;Bad Kleinen;13058711;Briefwahl Bad Kleinen;1;1;0;325;0;2;0,3;99,7;43,8;27,8;13,3;5,9;5,6;0,6;0,6;2,5;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058025;Dorf Mecklenburg;3;3;2472;1699;68,7;1;49;1650;769;571;194;41;75;x;x;x;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058025;Dorf Mecklenburg;3;3;2472;1699;68,7;1;2,9;97,1;46,6;34,6;11,8;2,5;4,5;x;x;x;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058025;Dorf Mecklenburg;3;3;2472;1699;68,7;2;24;1675;736;540;208;55;86;6;2;42;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058025;Dorf Mecklenburg;3;3;2472;1699;68,7;2;1,4;98,6;43,9;32,2;12,4;3,3;5,1;0,4;0,1;2,5;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058042;Groß Stieten;1;1;592;358;60,5;1;15;343;166;85;72;11;9;x;x;x;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058042;Groß Stieten;1;1;592;358;60,5;1;4,2;95,8;48,4;24,8;21;3,2;2,6;x;x;x;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058042;Groß Stieten;1;1;592;358;60,5;2;13;345;175;68;61;10;12;3;1;15;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058042;Groß Stieten;1;1;592;358;60,5;2;3,6;96,4;50,7;19,7;17,7;2,9;3,5;0,9;0,3;4,3;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058063;Lübow;1;1;1135;812;71,5;1;10;802;333;301;105;23;40;x;x;x;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058063;Lübow;1;1;1135;812;71,5;1;1,2;98,8;41,5;37,5;13,1;2,9;5;x;x;x;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058063;Lübow;1;1;1135;812;71,5;2;5;807;342;283;101;20;44;6;3;8;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058063;Lübow;1;1;1135;812;71,5;2;0,6;99,4;42,4;35,1;12,5;2,5;5,5;0,7;0,4;1;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058069;Metelsdorf;1;1;328;240;73,2;1;7;233;86;107;16;8;16;x;x;x;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058069;Metelsdorf;1;1;328;240;73,2;1;2,9;97,1;36,9;45,9;6,9;3,4;6,9;x;x;x;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058069;Metelsdorf;1;1;328;240;73,2;2;8;232;95;100;12;6;16;1;1;1;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058069;Metelsdorf;1;1;328;240;73,2;2;3,3;96,7;40,9;43,1;5,2;2,6;6,9;0,4;0,4;0,4;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058092;Schimm;1;1;236;149;63,1;1;11;138;60;40;27;7;4;x;x;x;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058092;Schimm;1;1;236;149;63,1;1;7,4;92,6;43,5;29;19,6;5,1;2,9;x;x;x;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058092;Schimm;1;1;236;149;63,1;2;7;142;61;46;25;4;2;2;0;2;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058092;Schimm;1;1;236;149;63,1;2;4,7;95,3;43;32,4;17,6;2,8;1,4;1,4;0;1,4;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058712;Briefwahl Dorf Mecklenburg;1;1;0;234;0;1;1;233;81;101;39;8;4;x;x;x;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058712;Briefwahl Dorf Mecklenburg;1;1;0;234;0;1;0,4;99,6;34,8;43,3;16,7;3,4;1,7;x;x;x;x
A;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058712;Briefwahl Dorf Mecklenburg;1;1;0;234;0;2;0;234;77;93;37;10;11;1;0;5;x
P;58;Nordwestmecklenburg;5812;Dorf Mecklenburg;13058712;Briefwahl Dorf Mecklenburg;1;1;0;234;0;2;0;100;32,9;39,7;15,8;4,3;4,7;0,4;0;2,1;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058026;Dragun;1;1;700;483;69;1;19;464;231;127;79;10;17;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058026;Dragun;1;1;700;483;69;1;3,9;96,1;49,8;27,4;17;2,2;3,7;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058026;Dragun;1;1;700;483;69;2;10;473;233;116;69;18;24;1;0;12;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058026;Dragun;1;1;700;483;69;2;2,1;97,9;49,3;24,5;14,6;3,8;5,1;0,2;0;2,5;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058055;Kneese;1;1;253;177;70;1;6;171;82;48;30;2;9;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058055;Kneese;1;1;253;177;70;1;3,4;96,6;48;28,1;17,5;1,2;5,3;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058055;Kneese;1;1;253;177;70;2;5;172;79;46;30;3;9;3;0;2;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058055;Kneese;1;1;253;177;70;2;2,8;97,2;45,9;26,7;17,4;1,7;5,2;1,7;0;1,2;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058058;Krembz;1;1;721;464;64,4;1;13;451;219;141;71;9;11;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058058;Krembz;1;1;721;464;64,4;1;2,8;97,2;48,6;31,3;15,7;2;2,4;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058058;Krembz;1;1;721;464;64,4;2;11;453;204;130;75;12;14;4;2;12;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058058;Krembz;1;1;721;464;64,4;2;2,4;97,6;45;28,7;16,6;2,6;3,1;0,9;0,4;2,6;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058071;Mühlen Eichsen;1;1;780;470;60,3;1;18;452;222;119;79;11;21;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058071;Mühlen Eichsen;1;1;780;470;60,3;1;3,8;96,2;49,1;26,3;17,5;2,4;4,6;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058071;Mühlen Eichsen;1;1;780;470;60,3;2;18;452;202;112;86;18;19;1;1;13;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058071;Mühlen Eichsen;1;1;780;470;60,3;2;3,8;96,2;44,7;24,8;19;4;4,2;0,2;0,2;2,9;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058088;Roggendorf;1;1;849;560;66;1;20;540;259;179;65;12;25;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058088;Roggendorf;1;1;849;560;66;1;3,6;96,4;48;33,1;12;2,2;4,6;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058088;Roggendorf;1;1;849;560;66;2;13;547;249;177;68;8;25;6;2;12;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058088;Roggendorf;1;1;849;560;66;2;2,3;97,7;45,5;32,4;12,4;1,5;4,6;1,1;0,4;2,2;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058090;Rögnitz;1;1;181;126;69,6;1;7;119;41;42;25;6;5;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058090;Rögnitz;1;1;181;126;69,6;1;5,6;94,4;34,5;35,3;21;5;4,2;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058090;Rögnitz;1;1;181;126;69,6;2;7;119;42;39;22;5;8;1;0;2;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058090;Rögnitz;1;1;181;126;69,6;2;5,6;94,4;35,3;32,8;18,5;4,2;6,7;0,8;0;1,7;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058102;Veelböken;1;1;658;343;52,1;1;5;338;170;111;34;7;16;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058102;Veelböken;1;1;658;343;52,1;1;1,5;98,5;50,3;32,8;10,1;2,1;4,7;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058102;Veelböken;1;1;658;343;52,1;2;3;340;165;110;31;11;19;0;0;4;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058102;Veelböken;1;1;658;343;52,1;2;0,9;99,1;48,5;32,4;9,1;3,2;5,6;0;0;1,2;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058713;Briefwahl Gadebusch-Land;1;1;0;223;0;1;1;222;90;74;33;12;13;x;x;x;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058713;Briefwahl Gadebusch-Land;1;1;0;223;0;1;0,4;99,6;40,5;33,3;14,9;5,4;5,9;x;x;x;x
A;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058713;Briefwahl Gadebusch-Land;1;1;0;223;0;2;1;222;89;76;27;15;9;0;0;6;x
P;58;Nordwestmecklenburg;5813;Gadebusch-Land;13058713;Briefwahl Gadebusch-Land;1;1;0;223;0;2;0,4;99,6;40,1;34,2;12,2;6,8;4,1;0;0;2,7;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058005;Barnekow;1;1;564;363;64,4;1;6;357;147;132;45;13;20;x;x;x;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058005;Barnekow;1;1;564;363;64,4;1;1,7;98,3;41,2;37;12,6;3,6;5,6;x;x;x;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058005;Barnekow;1;1;564;363;64,4;2;6;357;140;119;48;15;22;2;2;9;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058005;Barnekow;1;1;564;363;64,4;2;1,7;98,3;39,2;33,3;13,4;4,2;6,2;0,6;0,6;2,5;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058029;Gägelow;2;2;2137;1408;65,9;1;27;1381;629;439;207;43;63;x;x;x;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058029;Gägelow;2;2;2137;1408;65,9;1;1,9;98,1;45,5;31,8;15;3,1;4,6;x;x;x;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058029;Gägelow;2;2;2137;1408;65,9;2;19;1389;591;405;232;49;71;5;3;33;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058029;Gägelow;2;2;2137;1408;65,9;2;1,3;98,7;42,5;29,2;16,7;3,5;5,1;0,4;0,2;2,4;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058033;Gramkow;1;1;803;523;65,1;1;25;498;237;171;64;13;13;x;x;x;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058033;Gramkow;1;1;803;523;65,1;1;4,8;95,2;47,6;34,3;12,9;2,6;2,6;x;x;x;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058033;Gramkow;1;1;803;523;65,1;2;13;510;220;169;65;25;24;2;0;5;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058033;Gramkow;1;1;803;523;65,1;2;2,5;97,5;43,1;33,1;12,7;4,9;4,7;0,4;0;1;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058036;Groß Krankow;1;1;537;351;65,4;1;14;337;125;126;55;14;17;x;x;x;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058036;Groß Krankow;1;1;537;351;65,4;1;4;96;37,1;37,4;16,3;4,2;5;x;x;x;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058036;Groß Krankow;1;1;537;351;65,4;2;14;337;131;120;45;19;17;0;2;3;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058036;Groß Krankow;1;1;537;351;65,4;2;4;96;38,9;35,6;13,4;5,6;5;0;0,6;0,9;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058109;Zierow;1;1;566;395;69,8;1;12;383;154;142;57;14;16;x;x;x;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058109;Zierow;1;1;566;395;69,8;1;3;97;40,2;37,1;14,9;3,7;4,2;x;x;x;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058109;Zierow;1;1;566;395;69,8;2;9;386;144;134;57;19;18;1;1;12;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058109;Zierow;1;1;566;395;69,8;2;2,3;97,7;37,3;34,7;14,8;4,9;4,7;0,3;0,3;3,1;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058714;Briefwahl Gägelow;1;1;0;291;0;1;2;289;127;98;43;16;5;x;x;x;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058714;Briefwahl Gägelow;1;1;0;291;0;1;0,7;99,3;43,9;33,9;14,9;5,5;1,7;x;x;x;x
A;58;Nordwestmecklenburg;5814;Gägelow;13058714;Briefwahl Gägelow;1;1;0;291;0;2;0;291;128;85;48;16;5;2;1;6;x
P;58;Nordwestmecklenburg;5814;Gägelow;13058714;Briefwahl Gägelow;1;1;0;291;0;2;0;100;44;29,2;16,5;5,5;1,7;0,7;0,3;2,1;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058008;Bernstorf;1;1;274;164;59,9;1;6;158;59;60;27;8;4;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058008;Bernstorf;1;1;274;164;59,9;1;3,7;96,3;37,3;38;17,1;5,1;2,5;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058008;Bernstorf;1;1;274;164;59,9;2;5;159;57;61;23;9;3;2;1;3;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058008;Bernstorf;1;1;274;164;59,9;2;3;97;35,8;38,4;14,5;5,7;1,9;1,3;0,6;1,9;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058015;Börzow;2;2;597;439;73,5;1;11;428;209;165;37;5;12;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058015;Börzow;2;2;597;439;73,5;1;2,5;97,5;48,8;38,6;8,6;1,2;2,8;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058015;Börzow;2;2;597;439;73,5;2;13;426;195;156;36;11;18;1;1;8;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058015;Börzow;2;2;597;439;73,5;2;3;97;45,8;36,6;8,5;2,6;4,2;0,2;0,2;1,9;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058045;Hanshagen;1;1;320;198;61,9;1;4;194;92;72;14;6;10;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058045;Hanshagen;1;1;320;198;61,9;1;2;98;47,4;37,1;7,2;3,1;5,2;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058045;Hanshagen;1;1;320;198;61,9;2;1;197;100;68;9;4;10;1;2;3;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058045;Hanshagen;1;1;320;198;61,9;2;0,5;99,5;50,8;34,5;4,6;2;5,1;0,5;1;1,5;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058067;Mallentin;1;1;642;372;57,9;1;7;365;193;117;30;5;20;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058067;Mallentin;1;1;642;372;57,9;1;1,9;98,1;52,9;32,1;8,2;1,4;5,5;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058067;Mallentin;1;1;642;372;57,9;2;6;366;186;103;35;5;23;4;0;10;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058067;Mallentin;1;1;642;372;57,9;2;1,6;98,4;50,8;28,1;9,6;1,4;6,3;1,1;0;2,7;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058081;Plüschow;1;1;416;261;62,7;1;12;249;113;82;47;3;4;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058081;Plüschow;1;1;416;261;62,7;1;4,6;95,4;45,4;32,9;18,9;1,2;1,6;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058081;Plüschow;1;1;416;261;62,7;2;5;256;127;69;40;6;10;1;0;3;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058081;Plüschow;1;1;416;261;62,7;2;1,9;98,1;49,6;27;15,6;2,3;3,9;0,4;0;1,2;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058089;Roggenstorf;1;1;384;248;64,6;1;14;234;102;85;33;7;7;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058089;Roggenstorf;1;1;384;248;64,6;1;5,6;94,4;43,6;36,3;14,1;3;3;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058089;Roggenstorf;1;1;384;248;64,6;2;11;237;95;82;34;13;6;0;1;6;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058089;Roggenstorf;1;1;384;248;64,6;2;4,4;95,6;40,1;34,6;14,3;5,5;2,5;0;0,4;2,5;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058091;Rüting;1;1;475;308;64,8;1;6;302;134;121;24;5;18;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058091;Rüting;1;1;475;308;64,8;1;1,9;98,1;44,4;40,1;7,9;1,7;6;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058091;Rüting;1;1;475;308;64,8;2;0;308;143;108;22;7;20;0;1;7;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058091;Rüting;1;1;475;308;64,8;2;0;100;46,4;35,1;7,1;2,3;6,5;0;0,3;2,3;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;539;352;65,3;1;11;341;146;126;47;6;16;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;539;352;65,3;1;3,1;96,9;42,8;37;13,8;1,8;4,7;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;539;352;65,3;2;15;337;141;114;43;6;23;2;0;8;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058098;Testorf-Steinfort;1;1;539;352;65,3;2;4,3;95,7;41,8;33,8;12,8;1,8;6,8;0,6;0;2,4;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;608;377;62;1;21;356;144;145;36;10;21;x;x;x;x
P;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;608;377;62;1;5,6;94,4;40,4;40,7;10,1;2,8;5,9;x;x;x;x
A;58;Nordwestmecklenburg;5815;Grevesmühlen-Land;13058100;Upahl;1;1;608;377;62;2;11;366;146;124;44;5;31;3;0;13;x
