Wahl zum Bundestag der Bundesrepublik Deutschland in Mecklenburg-Vorpommern am 22. September 2002;;;;;;;;;;;;;;;;;;;;;;;
Endgültiges Ergebnis der Gemeinden - Stimmenanzahl der Parteien;;;;;;;;;;;;;;;;;;;;;;;
In den amtsangehörigen Gemeinden ohne Briefwahlergebnisse. Diese werden auf Amtsebene festgestellt. Bsp. 13051711: Briefwahlergebnis der Gemeinden des Amtes Bad Doberan-Land (Amt 5111);;;;;;;;;;;;;;;;;;;;;;;
Ausgabe;Kreis;Kreisname;Amt;Amtsname;Gemeinde;Gemeindename;Wahlbezirke insg.;erf. Wahlbezirke;Wahlberechtigte;Waehler;Wahlbeteiligung;Erst-/Zweitstimme;ungueltige Stimmen;gueltige Stimmen;SPD;CDU;PDS;GRÜNE;FDP;NPD;REP;Schill;Einzelbewerber
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;1;10;418;198;124;66;7;14;x;x;9;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;1;2,3;97,7;47,4;29,7;15,8;1,7;3,3;x;x;2,2;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;2;15;413;186;118;67;11;19;4;0;8;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051059;Reddelich;1;1;612;428;69,9;2;3,5;96,5;45;28,6;16,2;2,7;4,6;1;0;1,9;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;709;479;67,6;1;7;472;200;112;87;17;47;x;x;9;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;709;479;67,6;1;1,5;98,5;42,4;23,7;18,4;3,6;10;x;x;1,9;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;709;479;67,6;2;3;476;192;112;93;26;41;4;0;8;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051063;Retschow;1;1;709;479;67,6;2;0,6;99,4;40,3;23,5;19,5;5,5;8,6;0,8;0;1,7;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;402;287;71,4;1;8;279;146;73;39;5;12;x;x;4;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;402;287;71,4;1;2,8;97,2;52,3;26,2;14;1,8;4,3;x;x;1,4;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;402;287;71,4;2;6;281;135;73;46;10;9;1;0;7;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051074;Steffenshagen;1;1;402;287;71,4;2;2,1;97,9;48;26;16,4;3,6;3,2;0,4;0;2,5;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;606;385;63,5;1;9;376;157;122;53;16;22;x;x;6;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;606;385;63,5;1;2,3;97,7;41,8;32,4;14,1;4,3;5,9;x;x;1,6;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;606;385;63,5;2;11;374;160;108;51;11;27;13;0;4;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051083;Wittenbeck;1;1;606;385;63,5;2;2,9;97,1;42,8;28,9;13,6;2,9;7,2;3,5;0;1,1;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;805;0;1;0;805;308;239;116;54;65;x;x;23;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;805;0;1;0;100;38,3;29,7;14,4;6,7;8,1;x;x;2,9;x
A;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;805;0;2;2;803;300;234;113;60;73;3;2;18;x
P;51;Bad Doberan;5111;Bad Doberan-Land;13051711;Briefwahl Bad Doberan-Land;1;1;0;805;0;2;0,2;99,8;37,4;29,1;14,1;7,5;9,1;0,4;0,2;2,2;x
